City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Tura,IN,76.53,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
8,Celestun,MX,81.9,broken clouds,20.8667,-90.4,Posada Lilia
10,Tomohon,ID,79.74,broken clouds,1.3346,124.8392,Gardenia Country Inn
14,Atuona,PF,77.92,few clouds,-9.8,-139.0333,Villa Enata
19,Port Blair,IN,82.44,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
21,Cartagena,CO,81.75,scattered clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
24,Nautla,MX,77.76,overcast clouds,20.2167,-96.7833,Casa Blanca
25,Kerema,PG,79.79,moderate rain,-7.9631,145.7785,Frena Lodge
30,Tera,NE,84.02,few clouds,14.0078,0.7531,Hotel Dar es salam
32,Hilo,US,79.25,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
34,Hami,CN,76.14,clear sky,42.8,93.45,Laoyutang Resort
36,Saint George,US,76.62,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
38,Houma,US,78.98,few clouds,29.5958,-90.7195,Courtyard by Marriott Houma
40,Faanui,PF,77.83,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
46,Kahului,US,84.22,few clouds,20.8947,-156.47,Maui Seaside Hotel
47,Boa Vista,BR,80.58,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
51,Kavieng,PG,83.21,moderate rain,-2.5744,150.7967,Nusa Island Retreat
52,Sibolga,ID,77.76,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
53,Pathein,MM,81.43,overcast clouds,16.7833,94.7333,New Pammawaddy Hotel
60,Berbera,SO,88.36,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
63,Hithadhoo,MV,83.14,broken clouds,-0.6,73.0833,Scoop Guest House
67,Touros,BR,77.9,clear sky,-5.1989,-35.4608,INN NEW HORIZON
68,Yulara,AU,78.64,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
73,Pozo Colorado,PY,85.69,broken clouds,-23.4923,-58.7972,Hospedaje la Amistad
77,Kununurra,AU,89.58,scattered clouds,-15.7667,128.7333,Hotel Kununurra
78,Urumqi,CN,77.95,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
79,Ituverava,BR,84.72,overcast clouds,-20.3394,-47.7806,Hotel Jandaia
89,Nishihara,JP,85.28,few clouds,26.1842,127.7558,Minshuku Agaihama
95,Hit,IQ,80.35,clear sky,33.6416,42.8251,صالون زيرو
98,Hamilton,US,77.85,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
105,Port-Gentil,GA,77.09,overcast clouds,-0.7193,8.7815,Fengshui Residence
110,Brazzaville,CG,75.56,overcast clouds,-4.2658,15.2832,Hotel Muesse
111,Pahrump,US,86.11,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
116,Sinnamary,GF,78.35,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
118,Diamantino,BR,81.36,clear sky,-14.4086,-56.4461,Hotel Delta
119,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
124,Salalah,OM,80.69,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
125,Puerto Escondido,MX,81.43,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
127,Champerico,GT,83.28,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
128,Barbosa Ferraz,BR,84.49,clear sky,-24.03,-52.0117,Edicula Sanches
129,Monrovia,LR,75.09,light rain,6.3005,-10.7969,Sunset Inn
132,Sao Filipe,CV,78.98,broken clouds,14.8961,-24.4956,Hotel Xaguate
139,Teknaf,BD,78.85,overcast clouds,20.8624,92.3058,Forestry Guesthouse
140,Bartica,GY,75.52,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
141,Saint-Georges,GD,78.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
143,Mpulungu,ZM,76.64,few clouds,-8.7623,31.1141,Chela moche guest house
145,San Patricio,US,84.83,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
149,Pijijiapan,MX,78.42,broken clouds,15.7011,-93.23,Hotel Rosita
152,Cabo San Lucas,MX,85.51,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
160,San Policarpo,PH,82.36,overcast clouds,12.1791,125.5072,Manong Aklan Resort
164,Junction City,US,78.66,clear sky,39.0286,-96.8314,Comfort Inn & Suites Junction City - Near Fort Riley
166,Anloga,GH,77.11,broken clouds,5.7947,0.8973,Pin Drop Hotel
172,Sao Felix Do Xingu,BR,77.04,few clouds,-6.6447,-51.995,Rio Xingu Camping
174,Puerto Ayacucho,VE,75.83,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
178,Manokwari,ID,82.83,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
180,San Ignacio,BZ,77.14,clear sky,17.1561,-89.0714,Rainforest Haven Inn
188,Melbourne,US,81.01,light intensity drizzle,28.0836,-80.6081,"Hilton Melbourne, FL"
189,New Bern,US,77.99,clear sky,35.1085,-77.0441,Hampton Inn New Bern
196,Shihezi,CN,77.94,few clouds,44.3,86.0333,Home Inn Shihezi Dongwu Road Century Square
201,Bubaque,GW,81.05,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
202,Butaritari,KI,82.8,few clouds,3.0707,172.7902,Isles Sunset Lodge
203,West Bay,KY,84.27,few clouds,19.3667,-81.4167,Calypso Cove
209,Atar,MR,83.73,broken clouds,20.5169,-13.0499,Oumou Elghoura
211,Jalu,LY,77.09,clear sky,29.0331,21.5482,صاحبة الفخامة
221,Umm Lajj,SA,80.87,clear sky,25.0213,37.2685,Moon light Furnished Units
222,Kilindoni,TZ,75.7,scattered clouds,-7.9139,39.6668,Bustani B&B
225,Nhulunbuy,AU,86.61,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
227,Naze,JP,83.32,clear sky,28.3667,129.4833,オーベルジュ・アガルイ
229,Clearwater,US,80.91,clear sky,27.9659,-82.8001,Shephard's Beach Resort
231,Monte Alegre,BR,75.33,broken clouds,-2.0078,-54.0692,Hotel Shekinah
232,Sri Aman,MY,82.45,scattered clouds,1.2376,111.4621,Seri Simanggang Hotel
235,Jieshi,CN,84.2,broken clouds,22.8134,115.8257,Yuehai Hotel
236,Callaway,US,76.96,overcast clouds,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
237,Buraydah,SA,82.85,clear sky,26.326,43.975,فندق راحة السلام
239,Acapulco,MX,82.22,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
