City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Lebu,CL,-37.6167,-73.65,47.71,80,3,10.09,clear sky
1,Ushuaia,AR,-54.8,-68.3,38.86,70,0,0.0,clear sky
2,Tura,IN,25.5198,90.2201,76.53,92,34,3.47,scattered clouds
3,Lakes Entrance,AU,-37.8811,147.981,67.15,41,97,10.11,overcast clouds
4,Andenes,NO,69.3143,16.1194,48.18,81,90,10.36,overcast clouds
5,Tres Arroyos,AR,-38.3739,-60.2798,55.44,93,0,8.55,clear sky
6,Lagoa,PT,39.05,-27.9833,66.58,65,53,10.83,broken clouds
7,Saskylakh,RU,71.9167,114.0833,29.73,81,25,3.29,scattered clouds
8,Celestun,MX,20.8667,-90.4,81.9,84,65,13.89,broken clouds
9,Solnechnyy,RU,50.7214,136.6319,55.96,30,0,13.82,clear sky
10,Tomohon,ID,1.3346,124.8392,79.74,69,83,2.37,broken clouds
11,Hobart,AU,-42.8794,147.3294,60.66,55,40,28.77,scattered clouds
12,Huangnihe,CN,43.5583,128.0239,70.75,56,100,2.3,overcast clouds
13,Caravelas,BR,-17.7125,-39.2481,71.13,84,6,6.51,clear sky
14,Atuona,PF,-9.8,-139.0333,77.92,74,18,17.4,few clouds
15,Erenhot,CN,43.6475,111.9767,69.76,34,100,8.68,overcast clouds
16,Camacupa,AO,-12.0167,17.4833,67.69,61,69,4.5,broken clouds
17,Taltal,CL,-25.4,-70.4833,58.3,78,100,2.77,overcast clouds
18,Sovetskiy,RU,61.3614,63.5842,32.74,89,100,14.36,overcast clouds
19,Port Blair,IN,11.6667,92.75,82.44,89,48,5.75,scattered clouds
20,Tuktoyaktuk,CA,69.4541,-133.0374,42.8,100,90,3.44,mist
21,Cartagena,CO,10.3997,-75.5144,81.75,83,32,12.55,scattered clouds
22,Athabasca,CA,54.7169,-113.2854,55.09,57,100,8.43,overcast clouds
23,Duma,CN,34.7653,108.135,59.02,75,100,7.74,overcast clouds
24,Nautla,MX,20.2167,-96.7833,77.76,85,100,6.17,overcast clouds
25,Kerema,PG,-7.9631,145.7785,79.79,87,75,5.19,moderate rain
26,Kedrovyy,RU,56.1667,91.8167,45.01,77,100,3.83,overcast clouds
27,Busselton,AU,-33.65,115.3333,58.08,82,54,12.3,broken clouds
28,Anshun,CN,26.25,105.9333,61.75,90,100,12.41,moderate rain
29,Liuhe,CN,42.2401,125.7172,72.77,53,100,3.67,overcast clouds
30,Tera,NE,14.0078,0.7531,84.02,57,21,11.41,few clouds
31,Clyde River,CA,70.4692,-68.5914,29.55,83,100,3.02,light snow
32,Hilo,US,19.7297,-155.09,79.25,78,22,3.0,few clouds
33,Jamestown,US,42.097,-79.2353,63.72,91,1,1.01,clear sky
34,Hami,CN,42.8,93.45,76.14,19,2,6.93,clear sky
35,East London,ZA,-33.0153,27.9116,60.57,75,59,22.79,light rain
36,Saint George,US,37.1041,-113.5841,76.62,61,1,4.0,clear sky
37,Grand Forks,US,47.9417,-97.4337,71.53,57,1,12.66,clear sky
38,Houma,US,29.5958,-90.7195,78.98,92,18,5.5,few clouds
39,Ketchikan,US,55.3422,-131.6461,52.27,93,90,0.0,light rain
40,Faanui,PF,-16.4833,-151.75,77.83,75,54,17.78,light rain
41,Margate,GB,51.3813,1.3862,62.31,87,100,9.17,overcast clouds
42,Kjollefjord,NO,70.9457,27.3465,41.92,77,0,15.23,clear sky
43,Punta Arenas,CL,-53.15,-70.9167,37.51,87,0,9.22,clear sky
44,Port Alfred,ZA,-33.5906,26.891,59.99,77,87,30.11,overcast clouds
45,Mataura,NZ,-46.1927,168.8643,52.48,66,100,3.98,moderate rain
46,Kahului,US,20.8947,-156.47,84.22,68,20,28.77,few clouds
47,Boa Vista,BR,2.8197,-60.6733,80.58,83,40,6.91,scattered clouds
